player_id,foot,country,tier,gender,season_end_year,player,url
162efffd,right,ITA,1st,M,2018,Rodrigo De Paul,https://fbref.com//en/players/162efffd/Rodrigo-De-Paul
d7d05a22,right,BRA,1st,M,2022,Rodrigo Dourado,https://fbref.com//en/players/d7d05a22/Rodrigo-Dourado
d7d05a22,right,BRA,1st,M,2021,Rodrigo Dourado,https://fbref.com//en/players/d7d05a22/Rodrigo-Dourado
d7d05a22,right,BRA,1st,M,2020,Rodrigo Dourado,https://fbref.com//en/players/d7d05a22/Rodrigo-Dourado
d7d05a22,right,BRA,1st,M,2019,Rodrigo Dourado,https://fbref.com//en/players/d7d05a22/Rodrigo-Dourado
fd47b4f2,right,ESP,1st,M,2021,Rodrigo Ely,https://fbref.com//en/players/fd47b4f2/Rodrigo-Ely
fd47b4f2,right,ESP,1st,M,2020,Rodrigo Ely,https://fbref.com//en/players/fd47b4f2/Rodrigo-Ely
fd47b4f2,right,ESP,1st,M,2019,Rodrigo Ely,https://fbref.com//en/players/fd47b4f2/Rodrigo-Ely
fd47b4f2,right,ESP,1st,M,2018,Rodrigo Ely,https://fbref.com//en/players/fd47b4f2/Rodrigo-Ely
41c7bfd7,left,POR,1st,M,2020,Rodrigo Fernandes,https://fbref.com//en/players/41c7bfd7/Rodrigo-Fernandes
8dcf77c0,right,POR,1st,M,2022,Rodrigo Gomes,https://fbref.com//en/players/8dcf77c0/Rodrigo-Gomes
8dcf77c0,right,POR,1st,M,2021,Rodrigo Gomes,https://fbref.com//en/players/8dcf77c0/Rodrigo-Gomes
7b013540,right,BRA,1st,M,2022,Rodrigo Lindoso,https://fbref.com//en/players/7b013540/Rodrigo-Lindoso
7b013540,right,BRA,1st,M,2021,Rodrigo Lindoso,https://fbref.com//en/players/7b013540/Rodrigo-Lindoso
7b013540,right,BRA,1st,M,2020,Rodrigo Lindoso,https://fbref.com//en/players/7b013540/Rodrigo-Lindoso
7b013540,right,BRA,1st,M,2019,Rodrigo Lindoso,https://fbref.com//en/players/7b013540/Rodrigo-Lindoso
ce536c37,right,BRA,1st,M,2022,Rodrigo Moledo,https://fbref.com//en/players/ce536c37/Rodrigo-Moledo
ce536c37,right,BRA,1st,M,2020,Rodrigo Moledo,https://fbref.com//en/players/ce536c37/Rodrigo-Moledo
ce536c37,right,BRA,1st,M,2019,Rodrigo Moledo,https://fbref.com//en/players/ce536c37/Rodrigo-Moledo
