season_id,player_name,team_name,pos_grp,pos_11,minutes_played,euro,ovaep_orig,dvaep_orig,vaep_orig,ovaep_atomic,dvaep_atomic,vaep_atomic,davies,x_goals_added
2020,Eddie Nketiah,Arsenal,F,FWC,477,18000000,0.9726370591670275,-0.1036421530880034,0.8689949060790241,3.0288183228840353,0.13770095945801586,3.166519282342051,-1.43,1.56
2020,Maximilian Kilman,Wolves,D,DC,1419,4500000,1.2111081205075607,-0.4711694438010454,0.7399386767065153,1.6486859220458427,1.469304450933123,3.1179903729789658,-1.06,1.96
2020,Sean Longstaff,Newcastle,M,MC,1538,15000000,0.23006229648413137,-0.03215906023979187,0.19790323624433948,1.8740857494859957,1.2405837312544463,3.1146694807404423,-0.28,1.78
2020,Nathan Tella,Southampton,F,FWC,810,1500000,0.8832581680035219,-0.10530498990556225,0.7779531780979596,2.878378754176083,0.23541947685589548,3.1137982310319785,-1.05,1.94
2020,Matt Ritchie,Newcastle,D,DL,1472,4000000,3.374719058097806,-0.6821049934951589,2.692614064602647,1.6673802396324464,1.4120137141144369,3.0793939537468833,-0.51,1.78
2020,Erik Pieters,Burnley,D,DL,1362,1800000,1.3540759797194042,-0.6414202837622724,0.7126556959571317,1.2733300428969088,1.804364178009564,3.077694220906473,-0.07,2.22
2020,Tom Davies,Everton,M,MC,1524,16000000,1.3546943219262175,-0.34989371692063287,1.0048006050055847,1.4814289021596778,1.591105480591068,3.072534382750746,-0.42,1.58
2020,Jack Cork,Burnley,M,MC,1432,6000000,0.7522638265509158,0.2728204418090172,1.025084268359933,1.696119656378869,1.3724852279556217,3.0686048843344906,-1.94,0.62
2020,Hal Robson-Kanu,West Brom,F,FWC,638,1800000,1.084078358951956,-0.1541130025871098,0.9299653563648462,2.8767323961510556,0.18942811869783327,3.066160514848889,-3.25,0.57
2020,Romaine Sawyers,West Brom,M,MC,1586,2500000,1.3753114273422398,-0.2667388003319502,1.1085726270102896,1.6076723140577087,1.4314928003004752,3.039165114358184,-0.74,1.32
2020,Tom Cairney,Fulham,F,FWC,813,9000000,1.5771704562418163,0.2401737011387013,1.8173441573805178,2.6229585348106923,0.4078774044464808,3.030835939257173,-0.8,1.76
2020,Andre Gomes,Everton,M,MC,1705,20000000,1.2564782993770205,-0.44520279357675463,0.8112755058002659,2.3860032947898144,0.6426436496840324,3.028646944473847,-0.98,2.15
2020,Dele Alli,Tottenham,F,FWC,671,32000000,-0.30470234202221036,-0.01665280689485371,-0.32135514891706407,2.602570444054436,0.3821393601538148,2.9847098042082507,-1.75,1.37
2020,Okay Yokuslu,West Brom,M,MC,1419,5000000,0.6675639660679735,-0.4317146540270187,0.23584931204095483,1.5248642887163442,1.4205345615628175,2.9453988502791617,-0.33,1.73
2020,Manuel Lanzini,West Ham,M,MC,636,10000000,1.2369362943540327,0.25577219208935276,1.4927084864433855,2.324759595558513,0.5845618552848464,2.9093214508433594,-1.9,1.22
2020,Fraser Forster,Southampton,G,GK,777,4000000,0.6909209734294564,0.08885045372880995,0.7797714271582663,0.3609559105389053,2.5090162106062053,2.8699721211451106,,
