player_name,team_name,position,mins_played,matches,aerials_won,aerials_lost
"Adama Traoré<span class=""ui-icon country flg-es""></span>","Wolverhampton, ",",  M(CLR),FW  ",1065	,32	,15	,17	
"Lucas Digne<span class=""ui-icon country flg-fr""></span>","Aston Villa, ",",  D(CL),M(L)  ",1272	,44	,24	,20	
"Cristian Romero<span class=""ui-icon country flg-ar""></span>","Tottenham, ",",  D(C)  ",1846	,73	,43	,30	
"Hakim Ziyech<span class=""ui-icon country flg-ma""></span>","Chelsea, ",",  M(CLR)  ",1317	,27	,13	,14	
"Jason Steele<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  GK  ",90	,1	,1	,-	
"Nathan Aké<span class=""ui-icon country flg-nl""></span>","Manchester City, ",",  D(CL),DMC  ",921	,51	,37	,14	
"Dominic Calvert-Lewin<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  AM(L),FW  ",1286	,188	,94	,94	
"Ben Mee<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  D(CL)  ",1840	,109	,68	,41	
"Aymeric Laporte<span class=""ui-icon country flg-es""></span>","Manchester City, ",",  D(CL)  ",2836	,84	,52	,32	
"Aaron Wan-Bissaka<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  D(R),M(R)  ",1794	,51	,19	,32	
"Matthew Cash<span class=""ui-icon country flg-pl""></span>","Aston Villa, ",",  D(R),M(CLR)  ",3380	,87	,42	,45	
"Ricardo Pereira<span class=""ui-icon country flg-pt""></span>","Leicester, ",",  D(LR),M(R)  ",994	,29	,15	,14	
"Martin Ødegaard<span class=""ui-icon country flg-no""></span>","Arsenal, ",",  AM(CR)  ",2793	,38	,15	,23	
"Youri Tielemans<span class=""ui-icon country flg-be""></span>","Leicester, ",",  M(C)  ",2634	,43	,24	,19	
"Neco Williams<span class=""ui-icon country flg-gb-wls""></span>","Liverpool, ",",  D(R)  ",7	,2	,-	,2	
"Ollie Watkins<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  AM(LR),FW  ",2955	,161	,65	,96	
"Leandro Trossard<span class=""ui-icon country flg-be""></span>","Brighton, ",",  M(CLR),FW  ",2812	,29	,9	,20	
"Scott McTominay<span class=""ui-icon country flg-gb-sct""></span>","Manchester United, ",",  D(C),DMC  ",2393	,102	,68	,34	
"Alex Telles<span class=""ui-icon country flg-br""></span>","Manchester United, ",",  D(L),M(L)  ",1660	,54	,30	,24	
"Andreas Christensen<span class=""ui-icon country flg-dk""></span>","Chelsea, ",",  D(C),DMC  ",1496	,88	,49	,39	
"Nathan Collins<span class=""ui-icon country flg-ie""></span>","Burnley, ",",  D(CR)  ",1670	,91	,59	,32	
"Ibrahima Konaté<span class=""ui-icon country flg-fr""></span>","Liverpool, ",",  D(C)  ",990	,53	,34	,19	
"Emmanuel Dennis<span class=""ui-icon country flg-ng""></span>","Watford, ",",  M(LR),FW  ",2591	,125	,45	,80	
"Shane Duffy<span class=""ui-icon country flg-ie""></span>","Brighton, ",",  D(C)  ",1434	,92	,65	,27	
"Maximilian Kilman<span class=""ui-icon country flg-gb-eng""></span>","Wolverhampton, ",",  D(C)  ",2689	,105	,66	,39	
"Ruben Loftus-Cheek<span class=""ui-icon country flg-gb-eng""></span>","Chelsea, ",",  M(CLR)  ",1388	,55	,37	,18	
"Alisson<span class=""ui-icon country flg-br""></span>","Liverpool, ",",  GK  ",3240	,16	,15	,1	
"Wesley Fofana<span class=""ui-icon country flg-fr""></span>","Leicester, ",",  D(C)  ",630	,31	,21	,10	
"Saïd Benrahma<span class=""ui-icon country flg-dz""></span>","West Ham, ",",  AM(CLR)  ",2184	,29	,10	,19	
"Emerson Royal<span class=""ui-icon country flg-br""></span>","Tottenham, ",",  D(R),M(R)  ",2291	,75	,33	,42	
"Fred<span class=""ui-icon country flg-br""></span>","Manchester United, ",",  M(C)  ",2036	,28	,15	,13	
"Oriol Romeu<span class=""ui-icon country flg-es""></span>","Southampton, ",",  DMC  ",2899	,116	,67	,49	
"Hassane Kamara<span class=""ui-icon country flg-ci""></span>","Watford, ",",  D(L),M(L)  ",1625	,45	,30	,15	
"Jordan Henderson<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  D(C),M(CLR)  ",2604	,31	,18	,13	
"Davinson Sánchez<span class=""ui-icon country flg-co""></span>","Tottenham, ",",  D(C)  ",1626	,84	,47	,37	
"Josh Brownhill<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  M(CR)  ",2953	,79	,47	,32	
"Curtis Jones<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  AM(C)  ",856	,14	,7	,7	
"Gabriel Martinelli<span class=""ui-icon country flg-br""></span>","Arsenal, ",",  AM(L),FW  ",1866	,63	,18	,45	
"Diogo Dalot<span class=""ui-icon country flg-pt""></span>","Manchester United, ",",  D(LR),M(R)  ",1799	,46	,29	,17	
"Liam Cooper<span class=""ui-icon country flg-gb-sct""></span>","Leeds, ",",  D(C)  ",1815	,126	,82	,44	
"Antonio Rüdiger<span class=""ui-icon country flg-de""></span>","Chelsea, ",",  D(CR)  ",3035	,76	,56	,20	
"Kai Havertz<span class=""ui-icon country flg-de""></span>","Chelsea, ",",  M(CR),FW  ",1816	,89	,37	,52	
"Roberto Firmino<span class=""ui-icon country flg-br""></span>","Liverpool, ",",  M(CLR),FW  ",987	,42	,14	,28	
"Rúben Neves<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  DMC  ",2663	,46	,20	,26	
"James McArthur<span class=""ui-icon country flg-gb-sct""></span>","Crystal Palace, ",",  M(CLR)  ",1438	,53	,22	,31	
"Romain Saïss<span class=""ui-icon country flg-ma""></span>","Wolverhampton, ",",  D(C),DMC  ",2709	,123	,73	,50	
"Mohammed Salisu<span class=""ui-icon country flg-gh""></span>","Southampton, ",",  D(CL)  ",2972	,162	,101	,61	
"Kyle Walker-Peters<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  D(LR),M(R)  ",2632	,55	,27	,28	
"Takehiro Tomiyasu<span class=""ui-icon country flg-jp""></span>","Arsenal, ",",  D(CR)  ",1682	,87	,47	,40	
"Joelinton<span class=""ui-icon country flg-br""></span>","Newcastle, ",",  AM(CLR),FW  ",2559	,197	,99	,98	
"Romelu Lukaku<span class=""ui-icon country flg-be""></span>","Chelsea, ",",  AM(R),FW  ",1586	,99	,51	,48	
"Lucas Moura<span class=""ui-icon country flg-br""></span>","Tottenham, ",",  AM(CLR),FW  ",1774	,80	,48	,32	
"Nélson Semedo<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  D(LR),M(R)  ",2137	,42	,15	,27	
"Charlie Taylor<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  D(L),M(L)  ",2731	,88	,58	,30	
"Ross Barkley<span class=""ui-icon country flg-gb-eng""></span>","Chelsea, ",",  M(CLR)  ",176	,8	,6	,2	
