venue,league,team,n,n_team,max_attendance,url,lat,long,capacity,season
Southwest University Park,USL Championship,El Paso,64,64,12896,https://en.wikipedia.org/wiki/Southwest_University_Park,31.759,-106.49300000000001,7500,
Sportsplex at Matthews,USL Championship,Charlotte,43,43,3544,https://en.wikipedia.org/wiki/Sportsplex_at_Matthews,35.112167,-80.70019400000001,5000,
St Andrew's Trillion Trophy Stadium,EFL Championship,Birmingham City,184,161,29656,https://en.wikipedia.org/wiki/St_Andrew's_(stadium),52.47570280000001,-1.8681889000000003,29409,
St. James' Park,Premier League,Newcastle Utd,137,114,52311,https://en.wikipedia.org/wiki/St_James'_Park,54.97556,-1.62167,52305,
St. Mary's Stadium,Premier League,Southampton,133,133,32000,https://en.wikipedia.org/wiki/St_Mary's_Stadium,50.90583,-1.39111,32384,
Stadium mk,EFL Championship,MK Dons,23,23,21345,https://en.wikipedia.org/wiki/Stadium_MK,52.00944,-0.7333299999999999,30500,
Stadium of Light,Premier League,Sunderland,61,38,47653,https://en.wikipedia.org/wiki/Stadium_of_Light,54.91439999999999,-1.3882,49000,
Stamford Bridge,Premier League,Chelsea,133,133,41642,https://en.wikipedia.org/wiki/Stamford_Bridge_(stadium),51.481669999999994,-0.19111,41837,
Stanford Stadium,Major League Soccer,San Jose,6,6,50850,https://en.wikipedia.org/wiki/Stanford_Stadium,37.434439999999995,-122.16111000000001,50424,
StubHub Center Track & Field Stadium,USL Championship,LA Galaxy II,1,1,689,,,,,
Subaru Park,Major League Soccer,Philadelphia,133,108,19487,https://en.wikipedia.org/wiki/Subaru_Park,39.83222,-75.37888999999998,18500,
Taft Stadium,USL Championship,OKC Energy,58,58,6757,https://en.wikipedia.org/wiki/Taft_Stadium,35.495830000000005,-97.56694,18200,
TCF Bank Stadium,Major League Soccer,Minnesota Utd,34,34,52242,https://en.wikipedia.org/wiki/Huntington_Bank_Stadium,44.976,-93.225,50805,
TD Place Stadium,USL Championship,Ottawa Fury,35,35,8084,https://en.wikipedia.org/wiki/TD_Place_Stadium,45.398177800000006,-75.68365,24000,
The American Express Community Stadium,Premier League,Brighton,142,95,31637,https://en.wikipedia.org/wiki/Falmer_Stadium,50.8618222,-0.0832778,31800,
The City Ground,EFL Championship,Nott'ham Forest,161,161,29530,https://en.wikipedia.org/wiki/City_Ground,52.94,-1.1327800000000001,30445,
The Den,EFL Championship,Millwall,115,115,17614,https://en.wikipedia.org/wiki/The_Den,51.48595280000001,-0.05095,20146,
The DW Stadium,EFL Championship,Wigan Athletic,69,69,15655,https://en.wikipedia.org/wiki/DW_Stadium,53.547779999999996,-2.65389,25138,
The Hawthorns,Premier League,West Brom,146,76,26548,https://en.wikipedia.org/wiki/The_Hawthorns,52.509170000000005,-1.9638899999999997,26688,
The John Smith's Stadium,EFL Championship,Huddersfield,155,117,24426,https://en.wikipedia.org/wiki/Kirklees_Stadium,53.65417,-1.76833,24121,
The Valley,EFL Championship,Charlton Ath,46,46,25363,https://en.wikipedia.org/wiki/The_Valley_(London),51.48639,0.03639,27111,
Torero Stadium,USL Championship,San Diego Loyal SC,41,41,6100,https://en.wikipedia.org/wiki/Torero_Stadium,32.77310000000001,-117.18369999999999,6000,
Tottenham Hotspur Stadium,Premier League,Tottenham,62,62,62027,https://en.wikipedia.org/wiki/Tottenham_Hotspur_Stadium,51.60444,-0.06639,62850,
Toyota Field,USL Championship,San Antonio,78,78,8406,https://en.wikipedia.org/wiki/Toyota_Field,29.538908300000003,-98.39461670000001,8296,
Toyota Stadium,Major League Soccer,FC Dallas,151,107,19096,https://en.wikipedia.org/wiki/Toyota_Stadium_(Texas),33.154439999999994,-96.83528,19096,
Turf Moor,Premier League,Burnley,137,114,21924,https://en.wikipedia.org/wiki/Turf_Moor,53.789170000000006,-2.23028,21944,
Vicarage Road Stadium,Premier League,Watford,137,114,21634,https://en.wikipedia.org/wiki/Vicarage_Road,51.6498361,-0.40148610000000007,22200,
Villa Park,Premier League,Aston Villa,147,76,42200,https://en.wikipedia.org/wiki/Villa_Park,52.509170000000005,-1.88472,42682,
Vitality Stadium,Premier League,Bournemouth,142,95,11388,https://en.wikipedia.org/wiki/Dean_Court,50.73528,-1.83833,11364,
WakeMed Soccer Park,USL Championship,N Carolina,42,42,9505,https://en.wikipedia.org/wiki/WakeMed_Soccer_Park,35.471019,-78.451838,10000,
Weidner Field,USL Championship,Switchbacks,77,76,8023,https://en.wikipedia.org/wiki/Weidner_Field,38.826363,-104.82819099999999,8000,
Wembley Stadium,Premier League,Tottenham,37,33,85826,https://en.wikipedia.org/wiki/Wembley_Stadium,51.556158,0.279607,90000,
West End Stadium,Major League Soccer,FC Cincinnati,25,25,25701,https://en.wikipedia.org/wiki/TQL_Stadium,39.11139,-84.52222,26000,
White Hart Lane,Premier League,Tottenham,38,38,36084,https://en.wikipedia.org/wiki/White_Hart_Lane,51.60333000000001,-0.06583,36284,
Yankee Stadium,Major League Soccer,NYCFC,90,89,37858,https://en.wikipedia.org/wiki/Yankee_Stadium,40.829170000000005,-73.92639,46537,
Zions Bank Stadium,USL Championship,Real Monarchs,55,55,4521,https://en.wikipedia.org/wiki/Zions_Bank_Stadium,40.483889999999995,-111.97944,5000,
