Rank,Club,Country,Level,Elo,From,To
13,Bayern,FRG,1,1812.89538574,1970-03-12,1970-03-14
11,Bayern,FRG,1,1817.86218262,1970-03-15,1970-03-17
11,Bayern,FRG,1,1817.72802734,1970-03-18,1970-03-18
12,Bayern,FRG,1,1817.72802734,1970-03-19,1970-03-21
6,Bayern,FRG,1,1837.5300293,1970-03-22,1970-03-22
5,Bayern,FRG,1,1837.5300293,1970-03-23,1970-03-28
9,Bayern,FRG,1,1824.44030762,1970-03-29,1970-03-29
8,Bayern,FRG,1,1824.44030762,1970-03-30,1970-04-01
8,Bayern,FRG,1,1825.67456055,1970-04-02,1970-04-04
5,Bayern,FRG,1,1840.49304199,1970-04-05,1970-04-11
5,Bayern,FRG,1,1845.13476562,1970-04-12,1970-04-15
7,Bayern,FRG,1,1835.07641602,1970-04-16,1970-04-18
4,Bayern,FRG,1,1844.7244873,1970-04-19,1970-04-21
7,Bayern,FRG,1,1836.24609375,1970-04-22,1970-04-30
6,Bayern,FRG,1,1839.95727539,1970-05-01,1970-05-03
6,Bayern,FRG,1,1838.64587402,1970-05-04,1970-05-06
7,Bayern,FRG,1,1838.64587402,1970-05-07,1970-05-10
6,Bayern,FRG,1,1838.64587402,1970-05-11,1970-08-15
6,Bayern,FRG,1,1838.0168457,1970-08-16,1970-08-22
6,Bayern,FRG,1,1841.83898926,1970-08-23,1970-08-28
6,Bayern,FRG,1,1841.06787109,1970-08-29,1970-09-05
7,Bayern,FRG,1,1834.25854492,1970-09-06,1970-09-12
6,Bayern,FRG,1,1841.41027832,1970-09-13,1970-09-16
6,Bayern,FRG,1,1840.57092285,1970-09-17,1970-09-19
7,Bayern,FRG,1,1837.10498047,1970-09-20,1970-09-22
7,Bayern,FRG,1,1837.11376953,1970-09-23,1970-09-23
6,Bayern,FRG,1,1851.93225098,1970-09-24,1970-09-26
6,Bayern,FRG,1,1854.60424805,1970-09-27,1970-09-27
5,Bayern,FRG,1,1854.60424805,1970-09-28,1970-09-30
5,Bayern,FRG,1,1847.48217773,1970-10-01,1970-10-03
5,Bayern,FRG,1,1836.1595459,1970-10-04,1970-10-07
5,Bayern,FRG,1,1838.84777832,1970-10-08,1970-10-10
6,Bayern,FRG,1,1831.32751465,1970-10-11,1970-10-17
5,Bayern,FRG,1,1831.32751465,1970-10-18,1970-10-21
7,Bayern,FRG,1,1826.3548584,1970-10-22,1970-10-23
6,Bayern,FRG,1,1837.85375977,1970-10-24,1970-10-29
6,Bayern,FRG,1,1842.48571777,1970-10-30,1970-11-04
4,Bayern,FRG,1,1847.65527344,1970-11-05,1970-11-05
3,Bayern,FRG,1,1847.65527344,1970-11-06,1970-11-06
3,Bayern,FRG,1,1862.90490723,1970-11-07,1970-11-14
3,Bayern,FRG,1,1864.59924316,1970-11-15,1970-11-28
3,Bayern,FRG,1,1863.89086914,1970-11-29,1970-12-04
3,Bayern,FRG,1,1865.58447266,1970-12-05,1970-12-12
2,Bayern,FRG,1,1865.58447266,1970-12-13,1971-01-16
3,Bayern,FRG,1,1865.58447266,1971-01-17,1971-01-23
3,Bayern,FRG,1,1867.91748047,1971-01-24,1971-01-30
3,Bayern,FRG,1,1868.29577637,1971-01-31,1971-02-06
2,Bayern,FRG,1,1868.29577637,1971-02-07,1971-02-13
4,Bayern,FRG,1,1853.25537109,1971-02-14,1971-02-14
3,Bayern,FRG,1,1853.25537109,1971-02-15,1971-03-10
2,Bayern,FRG,1,1853.25537109,1971-03-11,1971-03-13
2,Bayern,FRG,1,1857.38720703,1971-03-14,1971-03-20
2,Bayern,FRG,1,1855.8494873,1971-03-21,1971-03-27
2,Bayern,FRG,1,1857.4954834,1971-03-28,1971-04-03
4,Bayern,FRG,1,1847.82849121,1971-04-04,1971-04-14
5,Bayern,FRG,1,1839.85998535,1971-04-15,1971-04-17
6,Bayern,FRG,1,1836.70471191,1971-04-18,1971-04-18
5,Bayern,FRG,1,1836.70471191,1971-04-19,1971-05-01
5,Bayern,FRG,1,1838.63146973,1971-05-02,1971-05-04
6,Bayern,FRG,1,1831.59851074,1971-05-05,1971-05-07
5,Bayern,FRG,1,1842.00610352,1971-05-08,1971-05-15
5,Bayern,FRG,1,1848.86181641,1971-05-16,1971-05-18
5,Bayern,FRG,1,1850.65808105,1971-05-19,1971-05-22
5,Bayern,FRG,1,1858.2043457,1971-05-23,1971-05-23
4,Bayern,FRG,1,1858.2043457,1971-05-24,1971-05-29
4,Bayern,FRG,1,1862.43066406,1971-05-30,1971-06-05
6,Bayern,FRG,1,1848.79138184,1971-06-06,1971-08-14
4,Bayern,FRG,1,1851.32397461,1971-08-15,1971-08-15
5,Bayern,FRG,1,1851.32397461,1971-08-16,1971-08-21
5,Bayern,FRG,1,1852.02233887,1971-08-22,1971-08-28
6,Bayern,FRG,1,1856.04455566,1971-08-29,1971-08-31
6,Bayern,FRG,1,1853.26904297,1971-09-01,1971-09-03
3,Bayern,FRG,1,1860.3762207,1971-09-04,1971-09-11
3,Bayern,FRG,1,1868.91357422,1971-09-12,1971-09-14
3,Bayern,FRG,1,1869.30065918,1971-09-15,1971-09-15
3,Bayern,FRG,1,1872.40991211,1971-09-16,1971-09-18
4,Bayern,FRG,1,1864.42626953,1971-09-19,1971-09-25
3,Bayern,FRG,1,1872.24511719,1971-09-26,1971-09-28
3,Bayern,FRG,1,1873.95080566,1971-09-29,1971-09-29
4,Bayern,FRG,1,1860.81530762,1971-09-30,1971-09-30
3,Bayern,FRG,1,1860.81530762,1971-10-01,1971-10-02
4,Bayern,FRG,1,1854.13098145,1971-10-03,1971-10-13
2,Bayern,FRG,1,1860.8046875,1971-10-14,1971-10-16
2,Bayern,FRG,1,1868.11401367,1971-10-17,1971-10-19
2,Bayern,FRG,1,1866.64086914,1971-10-20,1971-10-20
1,Bayern,FRG,1,1885.3840332,1971-10-21,1971-10-23
2,Bayern,FRG,1,1888.57714844,1971-10-24,1971-10-29
1,Bayern,FRG,1,1899.20556641,1971-10-30,1971-11-03
1,Bayern,FRG,1,1904.62487793,1971-11-04,1971-11-06
1,Bayern,FRG,1,1897.65649414,1971-11-07,1971-11-13
1,Bayern,FRG,1,1887.33532715,1971-11-14,1971-11-24
2,Bayern,FRG,1,1882.51953125,1971-11-25,1971-11-26
3,Bayern,FRG,1,1882.51953125,1971-11-27,1971-11-27
1,Bayern,FRG,1,1885.85839844,1971-11-28,1971-12-01
3,Bayern,FRG,1,1875.47265625,1971-12-02,1971-12-08
3,Bayern,FRG,1,1867.28039551,1971-12-09,1971-12-11
4,Bayern,FRG,1,1859.32263184,1971-12-12,1971-12-12
3,Bayern,FRG,1,1859.32263184,1971-12-13,1972-01-06
4,Bayern,FRG,1,1859.32263184,1972-01-07,1972-01-09
3,Bayern,FRG,1,1859.32263184,1972-01-10,1972-01-16
4,Bayern,FRG,1,1859.32263184,1972-01-17,1972-01-22
4,Bayern,FRG,1,1863.64868164,1972-01-23,1972-01-29
4,Bayern,FRG,1,1866.2623291,1972-01-30,1972-01-30
3,Bayern,FRG,1,1866.2623291,1972-01-31,1972-02-05
3,Bayern,FRG,1,1863.40673828,1972-02-06,1972-02-19
3,Bayern,FRG,1,1866.14086914,1972-02-20,1972-02-26
3,Bayern,FRG,1,1868.87805176,1972-02-27,1972-03-04
3,Bayern,FRG,1,1871.7355957,1972-03-05,1972-03-08
3,Bayern,FRG,1,1872.51953125,1972-03-09,1972-03-11
3,Bayern,FRG,1,1875.88061523,1972-03-12,1972-03-18
3,Bayern,FRG,1,1879.32714844,1972-03-19,1972-03-22
3,Bayern,FRG,1,1879.64672852,1972-03-23,1972-03-25
3,Bayern,FRG,1,1888.26977539,1972-03-26,1972-04-01
2,Bayern,FRG,1,1888.26977539,1972-04-02,1972-04-05
3,Bayern,FRG,1,1873.44567871,1972-04-06,1972-04-08
3,Bayern,FRG,1,1876.90588379,1972-04-09,1972-04-15
3,Bayern,FRG,1,1878.81091309,1972-04-16,1972-04-19
5,Bayern,FRG,1,1851.93933105,1972-04-20,1972-04-22
7,Bayern,FRG,1,1833.13269043,1972-04-23,1972-05-06
7,Bayern,FRG,1,1834.8951416,1972-05-07,1972-05-20
5,Bayern,FRG,1,1848.18945312,1972-05-21,1972-06-03
5,Bayern,FRG,1,1851.5994873,1972-06-04,1972-06-24
5,Bayern,FRG,1,1854.58569336,1972-06-25,1972-06-28
5,Bayern,FRG,1,1861.40612793,1972-06-29,1972-08-12
4,Bayern,FRG,1,1861.40612793,1972-08-13,1972-08-15
5,Bayern,FRG,1,1861.40612793,1972-08-16,1972-09-12
5,Bayern,FRG,1,1859.60888672,1972-09-13,1972-09-13
5,Bayern,FRG,1,1860.26062012,1972-09-14,1972-09-16
5,Bayern,FRG,1,1868.37194824,1972-09-17,1972-09-20
5,Bayern,FRG,1,1869.98876953,1972-09-21,1972-09-23
4,Bayern,FRG,1,1876.20410156,1972-09-24,1972-09-26
4,Bayern,FRG,1,1874.7565918,1972-09-27,1972-09-27
3,Bayern,FRG,1,1893.03723145,1972-09-28,1972-09-29
2,Bayern,FRG,1,1895.82312012,1972-09-30,1972-09-30
3,Bayern,FRG,1,1898.77416992,1972-10-01,1972-10-04
3,Bayern,FRG,1,1896.92382812,1972-10-05,1972-10-07
2,Bayern,FRG,1,1903.51794434,1972-10-08,1972-10-14
3,Bayern,FRG,1,1893.95629883,1972-10-15,1972-10-21
3,Bayern,FRG,1,1899.35571289,1972-10-22,1972-10-24
3,Bayern,FRG,1,1898.41455078,1972-10-25,1972-10-25
3,Bayern,FRG,1,1901.3581543,1972-10-26,1972-10-26
3,Bayern,FRG,1,1901.36804199,1972-10-27,1972-10-28
3,Bayern,FRG,1,1906.6307373,1972-10-29,1972-10-31
3,Bayern,FRG,1,1908.5456543,1972-11-01,1972-11-04
2,Bayern,FRG,1,1913.9954834,1972-11-05,1972-11-07
2,Bayern,FRG,1,1915.2331543,1972-11-08,1972-11-08
2,Bayern,FRG,1,1914.38696289,1972-11-09,1972-11-11
1,Bayern,FRG,1,1916.66833496,1972-11-12,1972-11-18
3,Bayern,FRG,1,1902.12316895,1972-11-19,1972-11-21
3,Bayern,FRG,1,1903.84289551,1972-11-22,1972-11-25
3,Bayern,FRG,1,1910.20288086,1972-11-26,1972-11-29
3,Bayern,FRG,1,1905.44921875,1972-11-30,1972-12-02
3,Bayern,FRG,1,1907.75939941,1972-12-03,1972-12-03
2,Bayern,FRG,1,1907.75939941,1972-12-04,1972-12-13
2,Bayern,FRG,1,1910.59228516,1972-12-14,1972-12-16
3,Bayern,FRG,1,1901.48962402,1972-12-17,1973-01-06
4,Bayern,FRG,1,1901.48962402,1973-01-07,1973-01-20
4,Bayern,FRG,1,1902.67150879,1973-01-21,1973-01-27
4,Bayern,FRG,1,1890.89892578,1973-01-28,1973-02-03
4,Bayern,FRG,1,1893.25280762,1973-02-04,1973-02-10
3,Bayern,FRG,1,1901.48669434,1973-02-11,1973-02-17
2,Bayern,FRG,1,1905.95593262,1973-02-18,1973-02-24
3,Bayern,FRG,1,1903.26904297,1973-02-25,1973-03-07
4,Bayern,FRG,1,1879.98193359,1973-03-08,1973-03-10
4,Bayern,FRG,1,1882.82141113,1973-03-11,1973-03-17
4,Bayern,FRG,1,1897.15979004,1973-03-18,1973-03-21
4,Bayern,FRG,1,1885.33764648,1973-03-22,1973-03-24
5,Bayern,FRG,1,1888.64648438,1973-03-25,1973-03-31
5,Bayern,FRG,1,1872.23474121,1973-04-01,1973-04-07
5,Bayern,FRG,1,1873.75598145,1973-04-08,1973-04-11
4,Bayern,FRG,1,1878.81445312,1973-04-12,1973-04-18
3,Bayern,FRG,1,1878.81445312,1973-04-19,1973-04-21
4,Bayern,FRG,1,1878.81445312,1973-04-22,1973-04-23
3,Bayern,FRG,1,1878.81445312,1973-04-24,1973-04-25
3,Bayern,FRG,1,1881.79382324,1973-04-26,1973-04-28
3,Bayern,FRG,1,1886.57983398,1973-04-29,1973-05-05
3,Bayern,FRG,1,1890.80993652,1973-05-06,1973-05-10
3,Bayern,FRG,1,1885.68908691,1973-05-11,1973-05-19
3,Bayern,FRG,1,1882.64904785,1973-05-20,1973-05-23
3,Bayern,FRG,1,1883.67089844,1973-05-24,1973-05-26
3,Bayern,FRG,1,1886.7322998,1973-05-27,1973-06-02
3,Bayern,FRG,1,1895.77478027,1973-06-03,1973-06-09
3,Bayern,FRG,1,1889.44128418,1973-06-10,1973-08-11
3,Bayern,FRG,1,1892.47241211,1973-08-12,1973-08-18
3,Bayern,FRG,1,1897.60437012,1973-08-19,1973-08-22
3,Bayern,FRG,1,1899.48632812,1973-08-23,1973-08-25
3,Bayern,FRG,1,1896.36706543,1973-08-26,1973-09-01
3,Bayern,FRG,1,1899.80541992,1973-09-02,1973-09-08
4,Bayern,FRG,1,1895.52954102,1973-09-09,1973-09-15
4,Bayern,FRG,1,1887.80285645,1973-09-16,1973-09-17
4,Bayern,FRG,1,1887.82946777,1973-09-18,1973-09-19
4,Bayern,FRG,1,1878.31530762,1973-09-20,1973-09-20
4,Bayern,FRG,1,1878.32104492,1973-09-21,1973-09-22
4,Bayern,FRG,1,1861.17016602,1973-09-23,1973-09-29
4,Bayern,FRG,1,1855.10900879,1973-09-30,1973-10-03
8,Bayern,FRG,1,1832.25891113,1973-10-04,1973-10-06
9,Bayern,FRG,1,1823.54211426,1973-10-07,1973-10-17
9,Bayern,FRG,1,1825.93969727,1973-10-18,1973-10-20
9,Bayern,FRG,1,1810.71069336,1973-10-21,1973-10-23
11,Bayern,FRG,1,1806.47412109,1973-10-24,1973-10-24
10,Bayern,FRG,1,1805.89245605,1973-10-25,1973-10-27
10,Bayern,FRG,1,1810.58911133,1973-10-28,1973-11-03
8,Bayern,FRG,1,1816.359375,1973-11-04,1973-11-04
9,Bayern,FRG,1,1816.359375,1973-11-05,1973-11-06
6,Bayern,FRG,1,1824.78662109,1973-11-07,1973-11-07
4,Bayern,FRG,1,1844.93237305,1973-11-08,1973-11-10
4,Bayern,FRG,1,1848.10803223,1973-11-11,1973-11-17
4,Bayern,FRG,1,1846.7434082,1973-11-18,1973-11-27
4,Bayern,FRG,1,1843.44018555,1973-11-28,1973-11-28
5,Bayern,FRG,1,1841.20556641,1973-11-29,1973-12-08
4,Bayern,FRG,1,1844.82507324,1973-12-09,1973-12-12
4,Bayern,FRG,1,1847.88867188,1973-12-13,1974-01-05
5,Bayern,FRG,1,1835.48632812,1974-01-06,1974-01-12
5,Bayern,FRG,1,1837.97399902,1974-01-13,1974-01-19
5,Bayern,FRG,1,1843.44006348,1974-01-20,1974-01-26
5,Bayern,FRG,1,1846.39904785,1974-01-27,1974-02-02
4,Bayern,FRG,1,1855.97851562,1974-02-03,1974-02-09
4,Bayern,FRG,1,1859.74694824,1974-02-10,1974-03-02
4,Bayern,FRG,1,1856.5760498,1974-03-03,1974-03-05
4,Bayern,FRG,1,1864.8626709,1974-03-06,1974-03-06
4,Bayern,FRG,1,1858.7947998,1974-03-07,1974-03-09
4,Bayern,FRG,1,1861.08178711,1974-03-10,1974-03-16
4,Bayern,FRG,1,1860.2635498,1974-03-17,1974-03-20
4,Bayern,FRG,1,1863.47668457,1974-03-21,1974-03-23
3,Bayern,FRG,1,1868.19665527,1974-03-24,1974-03-30
3,Bayern,FRG,1,1876.78186035,1974-03-31,1974-04-06
3,Bayern,FRG,1,1869.47924805,1974-04-07,1974-04-10
3,Bayern,FRG,1,1872.31005859,1974-04-11,1974-04-15
2,Bayern,FRG,1,1872.31005859,1974-04-16,1974-04-20
2,Bayern,FRG,1,1871.02099609,1974-04-21,1974-04-24
3,Bayern,FRG,1,1868.69628906,1974-04-25,1974-04-27
3,Bayern,FRG,1,1871.21130371,1974-04-28,1974-05-04
2,Bayern,FRG,1,1882.79699707,1974-05-05,1974-05-11
2,Bayern,FRG,1,1884.20922852,1974-05-12,1974-05-15
2,Bayern,FRG,1,1877.92834473,1974-05-16,1974-05-17
1,Bayern,FRG,1,1891.34094238,1974-05-18,1974-05-18
3,Bayern,FRG,1,1875.65124512,1974-05-19,1974-05-21
2,Bayern,FRG,1,1875.65124512,1974-05-22,1974-08-24
4,Bayern,FRG,1,1850.05908203,1974-08-25,1974-08-31
4,Bayern,FRG,1,1851.71618652,1974-09-01,1974-09-12
2,Bayern,FRG,1,1857.28137207,1974-09-13,1974-09-14
2,Bayern,FRG,1,1861.11901855,1974-09-15,1974-09-18
4,Bayern,FRG,1,1863.45751953,1974-09-19,1974-09-21
4,Bayern,FRG,1,1846.50756836,1974-09-22,1974-09-25
4,Bayern,FRG,1,1849.61938477,1974-09-26,1974-09-28
4,Bayern,FRG,1,1830.4609375,1974-09-29,1974-10-02
5,Bayern,FRG,1,1831.62255859,1974-10-03,1974-10-05
5,Bayern,FRG,1,1820.41796875,1974-10-06,1974-10-09
5,Bayern,FRG,1,1822.77612305,1974-10-10,1974-10-12
4,Bayern,FRG,1,1833.78076172,1974-10-13,1974-10-19
4,Bayern,FRG,1,1836.95007324,1974-10-20,1974-10-22
4,Bayern,FRG,1,1835.75891113,1974-10-23,1974-10-23
4,Bayern,FRG,1,1826.13891602,1974-10-24,1974-11-02
4,Bayern,FRG,1,1823.53808594,1974-11-03,1974-11-05
3,Bayern,FRG,1,1852.03088379,1974-11-06,1974-11-06
4,Bayern,FRG,1,1851.25646973,1974-11-07,1974-11-09
4,Bayern,FRG,1,1826.49462891,1974-11-10,1974-11-16
5,Bayern,FRG,1,1818.60510254,1974-11-17,1974-11-23
8,Bayern,FRG,1,1811.4654541,1974-11-24,1974-11-24
7,Bayern,FRG,1,1811.4654541,1974-11-25,1974-11-27
6,Bayern,FRG,1,1810.82250977,1974-11-28,1974-11-29
7,Bayern,FRG,1,1797.40588379,1974-11-30,1974-12-01
8,Bayern,FRG,1,1797.40588379,1974-12-02,1974-12-07
8,Bayern,FRG,1,1803.11767578,1974-12-08,1974-12-11
7,Bayern,FRG,1,1801.64013672,1974-12-12,1974-12-14
7,Bayern,FRG,1,1795.42871094,1974-12-15,1975-01-25
7,Bayern,FRG,1,1782.08410645,1975-01-26,1975-02-01
10,Bayern,FRG,1,1772.49609375,1975-02-02,1975-02-02
11,Bayern,FRG,1,1772.49609375,1975-02-03,1975-02-15
12,Bayern,FRG,1,1765.50146484,1975-02-16,1975-02-22
13,Bayern,FRG,1,1761.39343262,1975-02-23,1975-02-23
14,Bayern,FRG,1,1761.39343262,1975-02-24,1975-03-01
14,Bayern,FRG,1,1763.10681152,1975-03-02,1975-03-05
11,Bayern,FRG,1,1771.95690918,1975-03-06,1975-03-08
10,Bayern,FRG,1,1775.51123047,1975-03-09,1975-03-15
11,Bayern,FRG,1,1775.51123047,1975-03-16,1975-03-18
10,Bayern,FRG,1,1775.51123047,1975-03-19,1975-03-19
10,Bayern,FRG,1,1777.16625977,1975-03-20,1975-03-22
9,Bayern,FRG,1,1780.26538086,1975-03-23,1975-03-27
8,Bayern,FRG,1,1790.85339355,1975-03-28,1975-03-31
9,Bayern,FRG,1,1790.85339355,1975-04-01,1975-04-05
10,Bayern,FRG,1,1784.29309082,1975-04-06,1975-04-09
10,Bayern,FRG,1,1788.82226562,1975-04-10,1975-04-12
9,Bayern,FRG,1,1788.82226562,1975-04-13,1975-04-13
9,Bayern,FRG,1,1787.01416016,1975-04-14,1975-04-19
9,Bayern,FRG,1,1788.92687988,1975-04-20,1975-04-23
8,Bayern,FRG,1,1794.66296387,1975-04-24,1975-05-03
7,Bayern,FRG,1,1803.1126709,1975-05-04,1975-05-07
7,Bayern,FRG,1,1799.76977539,1975-05-08,1975-05-10
7,Bayern,FRG,1,1801.6295166,1975-05-11,1975-05-21
4,Bayern,FRG,1,1811.01416016,1975-05-22,1975-05-24
4,Bayern,FRG,1,1810.80078125,1975-05-25,1975-05-28
3,Bayern,FRG,1,1827.07800293,1975-05-29,1975-05-30
3,Bayern,FRG,1,1829.24938965,1975-05-31,1975-06-07
3,Bayern,FRG,1,1822.68115234,1975-06-08,1975-06-14
4,Bayern,FRG,1,1809.67456055,1975-06-15,1975-08-09
5,Bayern,FRG,1,1803.8671875,1975-08-10,1975-08-16
3,Bayern,FRG,1,1807.98376465,1975-08-17,1975-08-22
3,Bayern,FRG,1,1812.58728027,1975-08-23,1975-08-26
4,Bayern,FRG,1,1812.58728027,1975-08-27,1975-08-27
5,Bayern,FRG,1,1801.69921875,1975-08-28,1975-08-30
4,Bayern,FRG,1,1811.3449707,1975-08-31,1975-08-31
5,Bayern,FRG,1,1811.3449707,1975-09-01,1975-09-06
5,Bayern,FRG,1,1812.99853516,1975-09-07,1975-09-13
3,Bayern,FRG,1,1816.34814453,1975-09-14,1975-09-14
3,Bayern,FRG,1,1816.38061523,1975-09-15,1975-09-16
3,Bayern,FRG,1,1816.44421387,1975-09-17,1975-09-17
3,Bayern,FRG,1,1814.55273438,1975-09-18,1975-09-20
5,Bayern,FRG,1,1809.54199219,1975-09-21,1975-09-27
4,Bayern,FRG,1,1812.20568848,1975-09-28,1975-09-30
4,Bayern,FRG,1,1812.24682617,1975-10-01,1975-10-01
4,Bayern,FRG,1,1815.51135254,1975-10-02,1975-10-04
6,Bayern,FRG,1,1808.41113281,1975-10-05,1975-10-17
5,Bayern,FRG,1,1808.41113281,1975-10-18,1975-10-19
4,Bayern,FRG,1,1808.41113281,1975-10-20,1975-10-21
5,Bayern,FRG,1,1806.82202148,1975-10-22,1975-10-22
5,Bayern,FRG,1,1807.25891113,1975-10-23,1975-10-25
4,Bayern,FRG,1,1811.85205078,1975-10-26,1975-10-31
6,Bayern,FRG,1,1810.87414551,1975-11-01,1975-11-01
5,Bayern,FRG,1,1810.87414551,1975-11-02,1975-11-04
5,Bayern,FRG,1,1808.28393555,1975-11-05,1975-11-05
5,Bayern,FRG,1,1804.87609863,1975-11-06,1975-11-08
6,Bayern,FRG,1,1809.84118652,1975-11-09,1975-11-09
5,Bayern,FRG,1,1809.84118652,1975-11-10,1975-11-15
7,Bayern,FRG,1,1798.07556152,1975-11-16,1975-11-16
8,Bayern,FRG,1,1798.07556152,1975-11-17,1975-11-22
12,Bayern,FRG,1,1785.24902344,1975-11-23,1975-11-26
11,Bayern,FRG,1,1786.17236328,1975-11-27,1975-11-29
13,Bayern,FRG,1,1773.80163574,1975-11-30,1975-11-30
14,Bayern,FRG,1,1773.80163574,1975-12-01,1975-12-06
15,Bayern,FRG,1,1768.74597168,1975-12-07,1975-12-07
14,Bayern,FRG,1,1768.74597168,1975-12-08,1975-12-10
14,Bayern,FRG,1,1769.23266602,1975-12-11,1975-12-14
15,Bayern,FRG,1,1769.23266602,1975-12-15,1975-12-23
16,Bayern,FRG,1,1769.23266602,1975-12-24,1975-12-26
15,Bayern,FRG,1,1769.23266602,1975-12-27,1975-12-27
16,Bayern,FRG,1,1769.23266602,1975-12-28,1975-12-28
15,Bayern,FRG,1,1769.23266602,1975-12-29,1976-01-04
16,Bayern,FRG,1,1769.23266602,1976-01-05,1976-01-10
15,Bayern,FRG,1,1769.23266602,1976-01-11,1976-01-17
15,Bayern,FRG,1,1772.10058594,1976-01-18,1976-01-24
15,Bayern,FRG,1,1774.0546875,1976-01-25,1976-01-25
14,Bayern,FRG,1,1774.0546875,1976-01-26,1976-01-31
12,Bayern,FRG,1,1774.0546875,1976-02-01,1976-02-07
13,Bayern,FRG,1,1774.18676758,1976-02-08,1976-02-14
13,Bayern,FRG,1,1776.23681641,1976-02-15,1976-02-17
14,Bayern,FRG,1,1776.23681641,1976-02-18,1976-02-18
15,Bayern,FRG,1,1776.23681641,1976-02-19,1976-02-21
13,Bayern,FRG,1,1778.07824707,1976-02-22,1976-02-22
14,Bayern,FRG,1,1778.07824707,1976-02-23,1976-02-28
15,Bayern,FRG,1,1778.07824707,1976-02-29,1976-03-03
16,Bayern,FRG,1,1774.1619873,1976-03-04,1976-03-05
16,Bayern,FRG,1,1777.24584961,1976-03-06,1976-03-06
14,Bayern,FRG,1,1781.22424316,1976-03-07,1976-03-13
15,Bayern,FRG,1,1780.6763916,1976-03-14,1976-03-17
8,Bayern,FRG,1,1807.3470459,1976-03-18,1976-03-20
6,Bayern,FRG,1,1821.55322266,1976-03-21,1976-03-27
7,Bayern,FRG,1,1819.47241211,1976-03-28,1976-03-31
6,Bayern,FRG,1,1823.01184082,1976-04-01,1976-04-10
8,Bayern,FRG,1,1810.21447754,1976-04-11,1976-04-14
7,Bayern,FRG,1,1811.48913574,1976-04-15,1976-04-17
5,Bayern,FRG,1,1822.54943848,1976-04-18,1976-04-21
4,Bayern,FRG,1,1822.54943848,1976-04-22,1976-04-24
5,Bayern,FRG,1,1822.54943848,1976-04-25,1976-05-01
4,Bayern,FRG,1,1826.15686035,1976-05-02,1976-05-08
4,Bayern,FRG,1,1826.30578613,1976-05-09,1976-05-12
4,Bayern,FRG,1,1833.25524902,1976-05-13,1976-05-15
4,Bayern,FRG,1,1836.89758301,1976-05-16,1976-05-29
4,Bayern,FRG,1,1831.09790039,1976-05-30,1976-06-04
4,Bayern,FRG,1,1825.12695312,1976-06-05,1976-06-12
4,Bayern,FRG,1,1829.58190918,1976-06-13,1976-08-14
4,Bayern,FRG,1,1831.95715332,1976-08-15,1976-08-21
5,Bayern,FRG,1,1817.21740723,1976-08-22,1976-08-22
6,Bayern,FRG,1,1817.21740723,1976-08-23,1976-08-27
6,Bayern,FRG,1,1812.02758789,1976-08-28,1976-08-28
7,Bayern,FRG,1,1812.02758789,1976-08-29,1976-09-03
7,Bayern,FRG,1,1812.828125,1976-09-04,1976-09-04
5,Bayern,FRG,1,1812.828125,1976-09-05,1976-09-08
5,Bayern,FRG,1,1814.73608398,1976-09-09,1976-09-10
5,Bayern,FRG,1,1819.3338623,1976-09-11,1976-09-14
5,Bayern,FRG,1,1819.3458252,1976-09-15,1976-09-15
5,Bayern,FRG,1,1820.0949707,1976-09-16,1976-09-18
4,Bayern,FRG,1,1827.32177734,1976-09-19,1976-09-25
4,Bayern,FRG,1,1834.70605469,1976-09-26,1976-09-28
4,Bayern,FRG,1,1834.71325684,1976-09-29,1976-09-29
4,Bayern,FRG,1,1835.45397949,1976-09-30,1976-10-02
5,Bayern,FRG,1,1833.01403809,1976-10-03,1976-10-05
4,Bayern,FRG,1,1833.01403809,1976-10-06,1976-10-09
7,Bayern,FRG,1,1800.65563965,1976-10-10,1976-10-20
7,Bayern,FRG,1,1799.14819336,1976-10-21,1976-10-23
7,Bayern,FRG,1,1805.97827148,1976-10-24,1976-10-30
5,Bayern,FRG,1,1813.94763184,1976-10-31,1976-11-03
5,Bayern,FRG,1,1814.30847168,1976-11-04,1976-11-06
5,Bayern,FRG,1,1813.84106445,1976-11-07,1976-11-13
5,Bayern,FRG,1,1816.61218262,1976-11-14,1976-11-20
4,Bayern,FRG,1,1826.05773926,1976-11-21,1976-11-24
5,Bayern,FRG,1,1821.24645996,1976-11-25,1976-11-27
5,Bayern,FRG,1,1826.26208496,1976-11-28,1976-12-04
6,Bayern,FRG,1,1803.83044434,1976-12-05,1976-12-07
7,Bayern,FRG,1,1797.95422363,1976-12-08,1976-12-08
6,Bayern,FRG,1,1799.56494141,1976-12-09,1976-12-11
6,Bayern,FRG,1,1795.93054199,1976-12-12,1976-12-19
7,Bayern,FRG,1,1795.93054199,1976-12-20,1977-01-15
7,Bayern,FRG,1,1796.77746582,1977-01-16,1977-01-22
9,Bayern,FRG,1,1791.02307129,1977-01-23,1977-01-29
9,Bayern,FRG,1,1785.40539551,1977-01-30,1977-02-05
9,Bayern,FRG,1,1788.36157227,1977-02-06,1977-02-12
11,Bayern,FRG,1,1774.60058594,1977-02-13,1977-02-13
13,Bayern,FRG,1,1774.60058594,1977-02-14,1977-02-26
14,Bayern,FRG,1,1768.2956543,1977-02-27,1977-03-02
16,Bayern,FRG,1,1764.61853027,1977-03-03,1977-03-03
